filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
(1666).jpg,182312,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[812,812,822,823,828,835,846,853,852,848,848,842,837,840,832,828,823,823,815],""all_points_y"":[321,306,308,301,300,292,291,296,326,329,316,332,331,322,322,339,339,325,325]}","{""nombre"":""RodillasBlancas""}"
(1667).jpg,178531,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[762,766,769,776,779,786,785,788,792,793,797,801,799,793,781,769,763,758,759],""all_points_y"":[328,325,342,342,328,326,337,333,322,332,331,309,296,292,292,304,308,308,325]}","{""nombre"":""RodillasBlancas\n""}"
(1668).jpg,182472,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[671,672,679,681,686,685,689,689,693,694,696,700,700,690,680,671,663,662,670],""all_points_y"":[330,347,346,332,329,338,337,329,327,335,334,313,299,294,296,311,311,330,330]}","{""nombre"":""RodillasBlancas""}"
(1669).jpg,111819,"{}",0,0,"{}","{}"
(1670).jpg,148446,"{}",0,0,"{}","{}"
(1671).jpg,211743,"{}",0,0,"{}","{}"
(1672).jpg,233780,"{}",0,0,"{}","{}"
(1673).jpg,239457,"{}",0,0,"{}","{}"
(1674).jpg,242104,"{}",0,0,"{}","{}"
(1675).jpg,240535,"{}",0,0,"{}","{}"
(1676).jpg,235169,"{}",0,0,"{}","{}"
(1677).jpg,246873,"{}",0,0,"{}","{}"
(1678).jpg,233104,"{}",0,0,"{}","{}"
